SampleID,CM1,ADT-1,ADT-2,PAL-1,PAL-2,PAL-3,PAL-4,PAL-5,GS2,NADH-GOGAT,C4H,4CL-1,4CL-2,4CL-3,HCT-1,HCT-2,HCT-3,HCT-4,C3H-1,C3H-2,C3H-3,CPR,CCoAOMT-1,CCoAOMT-2,CCoAOMT-3,CCoAOMT-4,CCoAOMT-5,SAMSyn-1,SAMSyn-2,SAMSyn-3,SAMSyn-4,ALS-1,ALS-2,IPMI,BCAT-1,BCAT-2,BCKDH-E1a-1,BCKDH-E1a-2,BCKDH-E1a-3,BCKDH-E1a-4,BCKDH-E3-1,BCKDH-E3-2,BCKDH-E3-3,PDH-E1a,PDH-E1b,PDH-E3,BCCP,KasI-1,KasI-2,KasI-3,KasI-4,KasI-5,KasIII,KR-1,KR-2,DH,ENR,ACL-1,ACL-2,ACS1-1,ACS1-2,ACS2,FatA,CS-1,CS-2,CS-3,CS-4,CS-5,CS-6,CS-7,MYB108,MYB31p-1,MYB31p-2,MYB37,MYB48,Capsaicinoids content (mg/kg DW)
pep165,1.11547897,0.800847423,0.759828896,0.982466973,1.020047229,1.012682743,0.765909833,1.015059846,1.047574993,1.036757121,1.194100422,1.188227833,1.108127437,1.223074743,1.035418516,1.025919819,1.04998772,1.115543741,1.132276303,1.486261757,1.305539288,0.862978126,1.049907836,0.949754274,1.124536144,0.901976871,1.116731213,1.068390301,2.289996896,1.105266709,0.588754099,1.041722914,0.869511382,0.844959855,0.972859244,1.025904705,1.081528061,1.190818681,1.27271108,1.0143981,1.013807603,0.964864318,0.847689962,0.861571511,0.898448999,1.941948804,1.267194732,1.071290971,0.845392743,1.196389005,0.935841418,1.307007435,1.275485447,0.936480494,1.09511922,1.137576747,1.027678357,1.16877488,1.052234202,0.898501896,1.112164843,0.950059778,1.116342586,1.156068927,0.0,0.915395307,0.700886016,0.880111191,1.451468822,0.977917876,1.090164222,1.036976264,0.898864615,0.971013265,1.141171549,0
pep162,0.952203571,0.866302951,0.727176878,0.92320349,0.853648582,0.926974952,0.804779817,0.700223931,0.894436803,0.858859888,0.807184589,0.999423482,0.681231926,1.090057007,0.629138608,0.578323731,0.87559575,0.801788658,0.951822709,1.115765187,1.055475209,0.906668509,0.927290789,1.078539418,0.773294845,0.79882885,0.634198962,1.042963663,1.156308403,0.93402322,0.880066233,0.814213117,0.937181587,1.140024234,0.729765114,0.685672218,0.915298283,0.775569566,1.058579002,0.946816929,0.993875438,0.970438496,0.622045054,0.953055865,0.908327813,1.106341177,0.93593798,0.964569971,0.976200194,0.862738177,1.057752253,1.503115694,0.992182461,1.20507963,1.084416071,0.937675082,1.024797246,0.934939379,0.962469425,0.850910556,0.948139495,0.847771929,1.067241288,0.8190633,0.0,0.843869255,0.967732983,0.923749237,0.909054702,0.917805237,0.925977512,0.685694281,0.756579883,1.081085851,0.679098867,0
pep154,1.037533742,0.840089347,0.758700675,1.246885753,0.673608819,0.740911598,0.645661984,0.836148778,0.956833483,0.726852836,0.996009694,1.0520311,1.02994651,1.057192498,0.961413857,1.006818562,0.983874869,0.959323751,0.954374867,1.354657919,1.255148964,0.944653443,1.071012746,0.718847356,0.695394984,0.944656834,1.049205104,0.979612138,1.936066938,0.877308838,0.578982054,0.663113071,0.830839298,0.608148589,1.050935744,1.005493735,0.657324302,1.321865067,1.036327607,0.575995542,0.9494712,0.720111141,0.804449021,0.813268388,0.939021799,1.147908085,1.112067679,0.854567487,0.833084269,0.935043927,0.970132618,1.1763376,0.927158269,1.016372688,0.941908836,1.187958094,0.973502335,1.077220893,0.989516687,0.852997364,0.903471905,0.780633792,0.918241688,0.894132555,1.053341231,0.826110842,0.853674472,0.666951904,1.074828971,0.851534629,1.1536279,0.915710727,0.984908053,1.022126415,1.039099344,0
pep167,1.227505773,0.590287831,0.562845646,0.90811879,1.048113701,0.937825915,0.651847932,0.973847012,1.014032858,0.884129068,1.028561735,1.10320142,0.802696807,0.873342512,0.624382155,0.645790114,0.774185068,0.669264158,0.636777538,1.236729565,1.271804689,0.900946478,0.97872742,1.138525957,0.844089274,1.006286446,1.229258406,0.945552105,1.288140125,0.883601031,0.634801332,0.815602251,0.831099569,0.714552862,0.898397296,0.844889194,1.000126392,0.774472679,1.099602905,0.816625744,0.987428792,0.840800841,0.685578248,1.00535845,1.069684565,1.856285239,1.157276881,0.9875153,0.797962452,1.062098811,0.91271271,1.248368844,0.876771381,1.073674052,1.235853248,1.11183763,1.018924501,0.768167695,1.170118286,0.845985713,1.067855536,0.836352973,1.118650428,1.147120599,0.0,1.095640382,0.904347259,0.954110794,0.929605394,1.088463576,0.952682848,0.896825544,0.848151787,1.211091694,0.776925242,0
pep163,1.190659389,0.498472755,0.39374601,1.140614365,1.075360303,1.08202945,0.794986619,1.268543611,1.198501714,0.862311182,1.139715985,1.077526983,1.037648444,1.330574075,1.092662036,0.869599682,0.898330917,1.120089035,0.859588563,1.107353184,1.165652731,0.966540118,0.641530712,1.071248896,0.827984628,1.31406503,1.6498793,1.092619759,2.729879469,0.791369849,0.814121047,1.069367583,0.772113876,0.919573893,1.292673028,1.20225377,1.084048162,0.989945548,1.088508352,0.966145888,0.797592977,0.908668623,0.983207701,1.204811509,1.423086029,1.015553592,1.323841513,0.85886986,0.82239248,0.97770222,1.079461141,1.347653855,0.956480382,1.071217188,1.156700643,1.149619298,1.12295328,1.020867771,1.313018682,0.898560268,1.076808279,0.782869065,1.09580108,1.314899995,0.95603859,1.160537252,0.560113217,0.893422594,1.12804762,1.105239349,1.287959178,1.096023032,1.147167251,1.06289925,1.029407661,0
pep164,1.131295754,0.0,0.560510981,0.77590776,0.964001464,0.755948755,0.708434846,0.999224012,0.890796486,0.760532943,1.304617862,0.827065886,0.841762811,1.310762811,0.890418741,0.869592972,0.788830161,0.936800878,0.906415813,1.343002928,1.287903367,0.849480234,0.994585652,0.96154612,1.011140556,1.484846266,1.342623719,1.10541142,2.856061493,1.055398243,0.58193265,0.809841874,0.773847731,0.611727672,0.931273792,0.993291362,1.016710102,1.216284041,1.020021962,0.997036603,0.732598829,0.774868228,0.528461201,0.789598829,1.136969253,0.954528551,0.982834553,0.859562225,0.795976574,0.805903367,0.894007321,1.300944363,1.050155198,0.924060029,0.833477306,1.222818448,0.687875549,0.999225476,1.094844802,0.68782284,0.87343631,0.642191801,0.998071742,1.249440703,1.092153734,1.02701757,1.050620791,0.856216691,1.405434846,0.771841874,0.97909224,0.828879941,1.070237189,0.91638653,1.10345388,0
pep155,1.027615076,0.513197125,0.854515563,0.762649789,0.796965841,1.048146651,0.91473211,0.825090952,0.87708456,0.852752148,1.369302474,1.064001107,0.858392363,0.886284159,0.99981552,0.808742739,0.411456228,0.641893853,0.856094497,1.431765341,1.254536724,0.848050613,1.044584553,1.029888525,0.842418537,0.90000624,0.73330114,0.817798553,0.996207302,1.134613663,0.826287361,0.894715995,0.599143252,0.640298641,1.030287328,1.019975421,1.130869798,1.065658717,1.056429275,0.777435344,0.841105471,0.872960882,1.255505245,0.804176852,0.851946403,1.208655383,0.964791388,1.201967971,0.779193333,1.032514657,0.870063456,1.440403361,0.723165574,0.675138292,1.202087341,0.98568921,0.817253251,0.878628226,0.787665863,0.748279314,0.827285725,0.89076052,1.072215907,0.95558365,0.0,0.752172391,1.073092189,1.223904852,1.063743377,0.997487812,1.002042848,0.928635958,1.494597168,0.907013779,0.986964295,0
pep169,0.726548543,0.211958263,0.61643646,0.945301507,0.59693021,0.711604559,0.679758405,0.879903475,0.983555338,0.653809877,0.873876414,0.903583686,0.960831153,1.106625025,0.980352781,0.809313943,0.733685414,0.715397904,0.821579518,1.019419106,1.058591798,0.570908634,0.75944043,0.627155222,0.694975356,1.211519978,1.056775862,0.748674252,0.986557975,0.578288996,0.561662356,0.766119793,0.848085514,0.47930833,0.979378814,1.070290934,0.690679649,1.032563814,0.941877244,0.833720784,0.587981249,0.773154141,0.622505812,0.761330695,0.978170326,1.434614783,0.735694861,0.597887517,0.663757154,0.838070315,0.727272611,0.972946788,0.855940045,0.904575594,0.859046486,0.986242718,0.820868266,0.721084076,0.910287397,0.577798168,1.237650484,0.563788424,0.833610572,0.777106396,0.0,0.781773747,0.573835661,0.755640678,0.997853428,0.599267731,1.308537332,0.790319025,0.622045741,0.882307635,1.098592362,0
pep170,1.066315916,0.682400405,0.684495901,0.808814382,0.887055538,1.091642037,0.808683548,0.881039298,0.895218751,0.926406685,0.997087324,1.056473303,0.618909227,1.032687168,0.887177793,0.778806103,0.826908146,0.832409628,0.860213024,1.122263737,1.048337973,1.026576555,1.09309623,0.918496562,0.804591217,0.914912555,0.851657308,0.774915387,1.460275653,1.246691604,0.618568199,0.836214551,0.691558818,0.663255676,0.672469854,0.85535928,0.868176768,1.029544996,0.846466826,1.090310099,0.900100378,0.984628023,1.053895221,1.009668882,0.853467542,1.634197556,1.189832232,0.778420034,1.154594864,1.051182014,0.973543555,1.356062783,1.0839657,1.037066906,1.256585692,1.246221887,0.912422411,1.021679915,0.94609191,0.878542719,1.013255033,0.796880563,0.878002222,1.179185309,1.135059776,1.416115804,0.899870881,0.997134511,1.122308778,1.059145758,0.696472617,1.028472583,0.940026338,0.955904495,1.163736118,0
pep168,1.222028438,0.592230615,0.958267052,0.805594312,0.647991557,0.78131082,0.588598089,0.73741613,0.989555654,0.828358143,1.052643857,1.17412575,0.805243279,0.769346812,0.948011553,0.718382582,0.579764497,0.707136192,0.767189513,1.302821595,0.828138192,0.772799378,0.98287936,1.085923128,0.75431904,1.087353921,0.89688958,0.690595423,0.821475228,0.94034659,0.717311709,0.906034215,0.804936681,0.711657409,0.737407243,0.822375028,1.098091535,1.022703844,0.697449456,0.928042657,0.821952899,0.978922462,0.638955788,0.660975339,0.910366585,1.104616752,0.951810709,0.958218174,0.870806487,0.989149078,0.987813819,1.346340813,1.05330371,1.122208398,1.179782271,1.346718507,0.786029771,0.942063986,0.784034659,0.753888025,0.99911353,0.997578316,0.951119751,1.182588314,1.078858032,1.260702066,0.691815152,0.981795157,1.194076872,0.960233281,0.644443457,0.887287269,1.108915796,1.035587647,1.022846034,0
